con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,1.0
608.0,Spain,Female,41.0,1.0,83807.86,1.1871721682242378,0.0,1.0,112542.58,0.0
502.0,France,Female,42.0,5.16170800325855,57635.04043662787,3.0,1.0,0.0,113931.57,1.0
699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
850.0,Spain,Male,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0
645.0,Spain,Male,46.216575136823664,6.265769141571173,93930.8614443616,2.346123723993315,1.0,1.0,109515.9425586725,1.0
660.1693050890442,France,Male,50.0,7.0,0.0,1.8981434236617474,1.0,1.0,113675.23598395071,0.0
376.0,Germany,Female,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0
501.0,France,Male,44.0,4.0,142051.07,2.0,1.0,1.0,74940.5,0.0
684.0,France,Male,37.148238032275394,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0
528.0,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0
497.0,Spain,Male,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0
476.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0
549.0,France,Female,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0
635.0,France,Female,35.0,7.0,0.0,2.0,1.0,1.0,94107.26862763548,0.0
616.0,Germany,Male,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0
653.0,Germany,Male,58.0,5.04889083322979,132602.88,1.0,0.0,0.0,5097.67,1.0
549.0,Spain,Female,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0
587.0,Spain,Male,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,0.0
726.0,France,Female,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0
676.3688983380432,France,Male,41.0,8.0,26811.18196933859,2.0,1.0,1.0,170886.17,0.0
636.0,Spain,Female,33.34561686760255,8.0,0.0,2.0,1.0,0.0,138555.46,0.0
510.0,Spain,Female,38.0,4.0,60276.99469578068,1.0,1.0,0.0,118913.53,1.0
669.0,France,Male,38.234224105502456,3.0,0.0,2.0,0.0,1.0,97715.912577188,0.0
846.0,France,Female,38.0,5.0,0.0,1.0,1.0,0.0,187616.16,0.0
646.8632971746464,France,Male,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0
702.7240435780203,France,Male,36.0,5.353731860105007,136815.64,1.0,1.0,1.0,86348.38526934323,0.0
571.0,France,Male,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0
