cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.0,1.0,7,acept,furnished,2065.0,3300.0,211.0,42.0
São Paulo,280.6703806082447,4.0,4.0,2.6965564862886087,-,acept,not furnished,1200.0,4922.469305824526,1750.0,59.14386997877032
Porto Alegre,80.0,2.1028719687984943,1.0,1.0,6,acept,not furnished,1000.0,2800.0,0.0,41.0
Porto Alegre,51.0,2.0,1.0,0.4752256903660776,2,acept,not furnished,348.7883610332903,1112.0,22.0,17.0
São Paulo,25.0,1.0,1.0,0.0,1,not acept,not furnished,0.0,800.0,25.0,11.0
São Paulo,207.59373410905383,3.3377456830764474,4.2398808442305524,7.0,-,acept,not furnished,1615.034816926136,8000.0,680.8793201762813,109.2998256522184
Rio de Janeiro,72.0,2.0,1.0,0.0,7,acept,not furnished,373.4615781576683,1808.0925130147286,85.0,25.0
São Paulo,213.0,4.0,4.0,3.124404308804958,5,acept,not furnished,1655.2473373527419,3223.0,474.2901433357393,41.0
São Paulo,151.63626388346285,2.3756477982633557,3.6002089876493506,2.5209790771074383,4,acept,not furnished,2311.727668720759,11475.630000210675,250.0,191.0
Rio de Janeiro,35.0,1.0,1.0,0.0,8,acept,furnished,440.77760293017644,2300.0,35.0,30.0
São Paulo,26.0,1.0,1.0,0.0,2,acept,not furnished,470.0,2100.0,150.0,27.0
Campinas,46.0,1.0,1.0,1.0,10,acept,not furnished,414.02085104632357,580.0,43.0,8.0
São Paulo,36.0,1.0,1.0,0.40926344296433725,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,55.0,1.0,1.0,1.0,2,acept,furnished,934.6940822321973,4200.0,224.0,54.0
São Paulo,100.0,2.559397223587315,2.0,2.0,24,acept,furnished,900.0,4370.0,17.0,56.0
São Paulo,330.0,4.0,6.0,2.2683049541254614,-,acept,not furnished,680.0,7446.163177462386,328.0,121.0
São Paulo,110.0,2.0,2.0,1.0,1,acept,not furnished,700.0,3000.0,122.0,39.0
Rio de Janeiro,110.79259372597465,2.0,3.0,1.0,9,not acept,furnished,1614.0,3500.0,276.38585341336557,45.517103339898306
Rio de Janeiro,56.0,2.0,1.0,0.5476927571360425,8,acept,not furnished,800.0,1220.0,0.0,16.0
São Paulo,147.66017469723664,2.5945529359201713,2.052778814196529,1.4528060797417568,5,acept,not furnished,1658.7344603783815,2764.1948481283534,273.11839405892385,35.81862708448879
São Paulo,246.20587426531765,7.0,4.0,2.6190151617905575,-,acept,not furnished,147.7735925244726,4275.712559276831,118.0,69.97561175344576
São Paulo,42.0,1.0,1.0,1.0,17,not acept,furnished,470.0,2690.0,172.0,36.0
São Paulo,160.0,3.0,2.0,2.0,18,acept,furnished,1530.0,1900.0,167.0,25.0
São Paulo,35.0,1.0101491566942986,1.0,0.12407166785610758,-,acept,not furnished,0.0,1100.0,3.0,14.0
São Paulo,90.0,2.5859289451014065,1.832916583930772,1.0,7,acept,not furnished,800.0,1800.0,118.0,24.0
São Paulo,39.88683211261969,1.0,1.0,0.7376744897406218,10,acept,not furnished,480.0,3500.0,42.0,45.0
São Paulo,41.0,1.0,1.0068083436950457,1.0,5,not acept,furnished,581.0983582861526,3077.109286909039,0.0,39.0
Belo Horizonte,64.0,2.0,2.0,1.0,4,acept,not furnished,352.0,1500.0,80.0,20.0
São Paulo,208.0,3.0,2.0,2.8537627234366063,5,acept,not furnished,464.20331695847585,3180.0,100.0,48.0
São Paulo,20.0,1.0,1.0,0.0,5,acept,furnished,508.2998937130569,1800.0,130.0,23.0
São Paulo,55.0,2.0,2.0,2.0,6,acept,not furnished,377.05585264206513,1068.0,72.32905576374799,14.230756871466248
São Paulo,32.0,1.0645193090332539,1.0,0.0,2,acept,not furnished,515.0,1739.5760246018785,29.0,22.0
São Paulo,80.0,2.0,2.0,1.0,11,acept,not furnished,1208.0,2550.0,216.0,33.0
Rio de Janeiro,45.0,1.0,1.0,0.6828793255928398,4,acept,furnished,2450.0,2500.0,593.0,33.0
São Paulo,190.42271947387624,4.0,3.8778316205710843,3.0,-,acept,not furnished,2100.0,3987.205275654864,724.4837093706495,51.0
Porto Alegre,38.0,1.0,1.0,2.0,11,not acept,not furnished,450.0,1750.0,0.0,26.0
São Paulo,30.0,1.0,1.0,0.0,1,acept,not furnished,460.0,1600.0,0.0,21.0
Belo Horizonte,80.0,3.0,1.9965068265600183,1.0,-,acept,not furnished,0.0,11000.0,425.0,181.0
São Paulo,70.0,1.6007437022017226,1.0,0.0,-,not acept,not furnished,0.0,1150.0,59.0,18.0
Porto Alegre,40.0,1.0,1.0,0.5541232453028173,6,acept,furnished,390.0,2990.0,63.96027017936747,44.0
São Paulo,192.26098695799948,3.402740689548382,6.0,3.3174791572759657,5,acept,not furnished,3700.0,3748.605665107916,529.5817783270501,48.673571448357876
São Paulo,240.0,3.0,2.9598433795414842,3.0,-,acept,not furnished,226.54071814376425,3500.0,292.0,52.29372404993121
São Paulo,200.0,4.0,2.0,1.0,5,not acept,not furnished,850.0,2541.151368695895,9.0,34.0
Belo Horizonte,45.0,1.0,1.038299484050886,1.0,5,acept,not furnished,500.0,911.7846735999128,192.0,12.0
São Paulo,360.0,3.6069902048139704,5.0,0.0,1,acept,not furnished,2502.656209906686,6410.0,2000.0,82.0
São Paulo,40.0,1.0,1.0,1.0,10,acept,furnished,978.0,2829.0,0.0,33.0
Belo Horizonte,100.0,3.0,1.5106915607508116,0.0,13,acept,not furnished,700.0,1220.0,10.0,17.0
Porto Alegre,42.0,1.1633194578445303,1.0,0.3046082489087429,2,acept,not furnished,190.0,1770.0,17.0,26.0
Campinas,250.0,3.0,3.0,1.8195709109604195,1,acept,not furnished,2200.0,1700.0,256.0,22.0
Campinas,48.0,1.0,1.0,1.0,2,acept,furnished,505.0,1600.0,59.0,21.0
São Paulo,90.0,2.368001224797072,1.7875542232836859,1.0,5,acept,not furnished,1250.0,3800.0,215.82045234382815,49.0
