"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",0.475775,0.365,0.112425,0.514,0.230920833333333,0.1039675,0.144925
"M",0.3554,0.265,0.09,0.2146925,0.08514,0.046345,0.0742743749999999
"F",0.5059375,0.402525,0.135,0.653658333333333,0.2565,0.1506275,0.21
"I",0.44,0.365,0.137325,0.516,0.2030575,0.114,0.155
"I",0.33,0.255,0.0845916666666666,0.178779,0.07626,0.0374379166666667,0.055
"I",0.425,0.32695,0.095,0.336867500000001,0.141,0.0775,0.1074975
"M",0.5489,0.433275000000001,0.15,0.7775,0.3076175,0.1558025,0.33
"F",0.547766666666667,0.43149375,0.125,0.768,0.313715,0.1495,0.26
"I",0.477293333333333,0.37,0.116154166666667,0.5095,0.2165,0.1125,0.151085
"F",0.55,0.433650000000001,0.15,0.8945,0.3145,0.151,0.32
"F",0.50285,0.3981,0.13135,0.636998749999999,0.194,0.1475,0.21
"M",0.43,0.35,0.117725,0.42321625,0.1675,0.0876150000000001,0.1342625
"M",0.611799999999999,0.488675,0.1593,1.07256125,0.4392425,0.23222,0.3214775
"F",0.535,0.405,0.136025,0.727808125000001,0.30681125,0.171,0.205
"F",0.465725,0.355,0.1,0.4755,0.2028975,0.0805,0.185
"M",0.5,0.4,0.149425,0.6889425,0.258,0.133,0.24
"I",0.355,0.27805,0.0958749999999999,0.2905,0.095,0.06188125,0.0756924999999999
"F",0.466833333333334,0.358725,0.11085,0.4642725,0.1939845,0.087,0.1476
"I",0.365,0.2897375,0.08,0.2555,0.12691,0.0550241666666667,0.1
"I",0.437575,0.336915,0.1,0.3956775,0.1705,0.0888666666666666,0.115
"I",0.378475,0.28,0.093075,0.2383505,0.1004075,0.047465,0.075
"I",0.3703625,0.275,0.1,0.2419275,0.10113875,0.049,0.0749600000000001
"M",0.565,0.44,0.142875,0.9395,0.40825,0.200588125,0.27
"F",0.55,0.415,0.13075,0.7635,0.33486,0.21,0.20911875
"F",0.615,0.48,0.15615,1.1615,0.513,0.259966666666667,0.3161025
"M",0.578275,0.45325,0.14,0.9285,0.38963375,0.21315,0.3
"F",0.58,0.45,0.1529,0.9955,0.457788333333333,0.272,0.285
"M",0.59,0.445,0.14,0.9218825,0.413431666666666,0.222089833333334,0.2556275
"M",0.604144999999999,0.475,0.152941666666667,0.9365,0.4023,0.203998333333333,0.295
"M",0.575,0.425,0.1466875,0.891814999999999,0.393,0.227,0.254114166666667
"F",0.58,0.460050000000001,0.176225,0.9975,0.3935,0.19685375,0.33
"M",0.619775,0.48345,0.156833333333333,1.2612725,0.6055,0.2805,0.311469166666667
"M",0.665,0.525,0.165,1.338,0.6086425,0.2936225,0.366540833333333
"F",0.707074999999999,0.55,0.193975,1.798,0.812626249999999,0.4042075,0.455
"F",0.705,0.551275,0.2,1.7095,0.75703375,0.4115,0.502124999999999
"M",0.462975000000001,0.355,0.139475,0.5296125,0.2107265,0.124,0.166515
"M",0.616037499999999,0.475,0.155,1.217,0.5305,0.267995,0.34
"F",0.45,0.355,0.105,0.5225,0.215675,0.11110125,0.145
"F",0.563625,0.4386125,0.135,0.8904175,0.381,0.2035,0.26
"M",0.426225,0.32695,0.09,0.372300833333333,0.196724375,0.086,0.1043555
"I",0.45035,0.335,0.0986000000000001,0.425,0.1865,0.0919275,0.115
"M",0.562731249999999,0.439754166666666,0.135,0.8515,0.362,0.196,0.27
"I",0.24506875,0.175,0.06195,0.07,0.0315,0.01373,0.0208725
"I",0.205,0.148125,0.0514833333333333,0.042,0.0184025,0.015,0.012
"I",0.21,0.146858333333333,0.042,0.04299,0.0175,0.00856750000000001,0.0131008333333333
"I",0.39,0.27575,0.095,0.24580625,0.0875,0.054170625,0.0796008333333333
"M",0.47,0.367235714285714,0.12,0.682802499999999,0.293,0.227,0.14
"F",0.46,0.375,0.1266,0.4605,0.1775,0.10106,0.15898
"I",0.3200875,0.245,0.07,0.1523075,0.0755,0.0255,0.04522625
"F",0.525,0.415225,0.1578,0.8238625,0.3545,0.177234166666667,0.245
"I",0.512420833333334,0.41,0.12,0.595,0.2385,0.111,0.1910425
"I",0.4,0.30415,0.095,0.303,0.1335,0.06,0.1
"M",0.485,0.36,0.1146,0.5415,0.244954375,0.096,0.144948333333333
"I",0.47,0.36055,0.12,0.4775,0.20824125,0.1055,0.15
"M",0.611799999999999,0.488675,0.1593,1.07256125,0.4392425,0.23222,0.3214775
"F",0.5,0.399775,0.14,0.741331666666666,0.2687875,0.1755,0.22
"M",0.445,0.3504,0.119325,0.45309,0.192,0.0955,0.135
