cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.5833667779039315,1.0,4,acept,furnished,2065.0,3300.0,287.97931420952654,42.0
São Paulo,320.0,4.184749846658425,4.789585469661687,0.0,5,acept,not furnished,2766.89044900743,4960.0,1750.0,63.55056450913802
Porto Alegre,80.0,1.0,1.661419749643428,1.0,7,acept,not furnished,1000.0,2800.0,112.97805658283957,41.0
Porto Alegre,51.0,1.4530754174190075,1.0101207875039184,0.0,1,acept,not furnished,251.24627384942605,1112.0,22.0,17.0
São Paulo,25.0,1.0,1.0,0.12332685235801277,1,acept,not furnished,0.0,1276.2469885827795,25.0,17.645236326111004
São Paulo,376.0,3.0,3.0,7.0,-,acept,not furnished,0.0,8000.0,834.0,121.0
Rio de Janeiro,72.0,2.0,1.4150866217389022,0.3735879268722499,7,acept,not furnished,740.0,2166.808301159501,92.86847793448383,28.204049732221694
São Paulo,213.0,3.5875672572629167,4.0,4.0,4,acept,not furnished,2942.1529397920317,3223.0,1735.0,42.222885514475955
São Paulo,147.5019665178529,2.6772875756210825,2.0,1.5854776364901262,10,acept,not furnished,1000.0,10893.450196305666,250.0,191.0
Rio de Janeiro,35.0,1.0055339996108983,1.0337962856868599,0.0,2,acept,furnished,860.7978518502383,2289.1923424812376,272.86239946778426,30.0
São Paulo,45.81436205861684,1.1732951146925736,1.0,0.0,2,acept,furnished,608.8534009536257,2115.695510617302,150.0,27.0
São Paulo,37.569576422709076,1.0,1.0,1.0,13,acept,not furnished,550.0,1306.926579094409,-20.99712414237381,8.0
São Paulo,36.88710837181741,1.0,1.0,0.0,11,acept,not furnished,359.0,2100.0,70.0,27.0
São Paulo,47.48880532464953,1.0,1.0,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0
São Paulo,100.0,2.0,2.0,2.0,24,acept,not furnished,900.0,4370.0,17.0,56.0
São Paulo,330.0,4.0,4.339000973656658,3.631628591433176,-,acept,not furnished,680.0,8000.0,328.0,121.0
São Paulo,110.0,2.824705240641774,2.1568282289437195,1.2401250593269306,1,acept,not furnished,700.0,3018.437524829877,118.27887506402338,39.0
Rio de Janeiro,73.65603945528595,2.0,1.645290072930678,1.0,9,not acept,furnished,1083.1967744907554,1324.1468664363795,221.0,16.0
Rio de Janeiro,56.0,2.0,1.0,0.0,8,acept,not furnished,368.5332565248211,1189.4986123421866,0.0,16.0
São Paulo,600.0,4.0,5.0,5.317947806524312,-,acept,not furnished,0.0,12335.775312945845,9500.0,181.0
São Paulo,100.0,7.0,4.775475639772515,2.9375441384543057,14,acept,not furnished,1655.5900204047869,4934.225765497916,508.1297267423587,58.0
Belo Horizonte,42.0,0.9741758958202281,1.0,1.1269832805827256,17,not acept,furnished,767.7450560057531,2690.0,172.0,36.0
São Paulo,160.0,2.8917773811228313,2.3521402276053225,1.3358998094893975,18,acept,furnished,1530.0,1900.0,167.0,25.0
São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,103.62118265261186,1100.0,3.0,14.0
