"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",0.468774999999999,0.365,0.12075,0.514,0.2245,0.117628333333333,0.15
"M",0.360425,0.265,0.09,0.2255,0.0995,0.0485,0.07
"F",0.53,0.417311785714286,0.135,0.677,0.2565,0.1415,0.21
"M",0.44,0.365,0.125,0.516,0.2155,0.114,0.1567025
"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
"I",0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
"F",0.505475,0.397816666666667,0.15,0.7775,0.237,0.166495833333333,0.25169625
"F",0.545,0.425,0.125,0.768,0.294,0.17705125,0.26
"I",0.475,0.37,0.122995833333333,0.5095,0.2165,0.1125,0.165
"F",0.55,0.44,0.163875,0.8945,0.3145,0.151,0.32
"F",0.525,0.38,0.14,0.6250375,0.194,0.1475,0.21
"M",0.43,0.35,0.11,0.406,0.1675,0.081,0.135
"M",0.49,0.38,0.135,0.539161875000001,0.2175,0.095,0.1761075
"M",0.535,0.420725,0.145,0.7135925,0.2725,0.171,0.205
"F",0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
"M",0.5,0.4,0.13,0.6645,0.258,0.159443875,0.193801666666667
"I",0.355,0.28614,0.085,0.2905,0.095,0.0395,0.115
"F",0.44,0.34,0.1,0.451,0.188,0.087,0.13
"M",0.365,0.28755,0.0991250000000001,0.2555,0.097,0.043,0.1
"M",0.45,0.32,0.1,0.381,0.1705,0.075,0.115
"I",0.355,0.28,0.095,0.2455,0.0955,0.0493716666666667,0.0904491666666668
"I",0.38,0.275,0.1,0.2255,0.0970260892857143,0.049,0.085
"M",0.5663625,0.44,0.155,0.9395,0.397039166666667,0.214,0.27
"F",0.55,0.415,0.135,0.7635,0.318,0.21,0.2
"F",0.615,0.48,0.165020833333333,1.19281416666667,0.513,0.301,0.326828333333333
"F",0.56,0.44,0.14,0.9285,0.3825,0.198777916666667,0.3
"F",0.572874999999999,0.4533875,0.185,0.9955,0.3945,0.272,0.285
"M",0.574174999999999,0.45173125,0.14,0.931,0.39923625,0.234,0.276031458333334
"M",0.605,0.468075,0.18,1.0751925,0.394,0.250584166666666,0.295
"M",0.575,0.425,0.1456,0.8635,0.393,0.227,0.234736666666667
"F",0.58,0.456675,0.165,0.9975,0.3935,0.223409166666667,0.33
"F",0.662925,0.528125000000001,0.165,1.40904625,0.6055,0.2805,0.46
"M",0.635750000000001,0.498475,0.1751625,1.273985,0.546225,0.2900225,0.35
"M",0.68,0.535950000000001,0.190575,1.64269916666666,0.69701,0.3925,0.455
"F",0.705,0.566496666666666,0.2,1.8718625,0.8040025,0.376320000000001,0.527885
"I",0.477378333333333,0.355,0.105,0.4795,0.227,0.124,0.125
"M",0.607699999999999,0.475,0.168797916666667,1.217,0.5305,0.2704575,0.323055
"F",0.470224999999999,0.355,0.105,0.50257625,0.237,0.1165,0.145
"F",0.575,0.445,0.135,0.901945,0.381,0.2035,0.26
"M",0.355,0.29,0.09,0.3275,0.134,0.086,0.09
"I",0.45,0.335,0.105,0.425,0.1865,0.091,0.115
"F",0.55,0.425,0.135,0.8515,0.362,0.196,0.27
"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
"I",0.205,0.15,0.055,0.042,0.0255,0.015,0.012
"I",0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
"I",0.39,0.295,0.095,0.203,0.0875,0.045,0.075
"M",0.47,0.37,0.12,0.5795,0.293,0.227,0.14
"F",0.4559875,0.3482875,0.12,0.463096125,0.1775,0.11,0.15
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
"F",0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
"I",0.52,0.41,0.12,0.612411,0.27233,0.111,0.19
"M",0.4,0.32,0.103419642857143,0.303,0.1335,0.06,0.1
