con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,80549.74135346139,1.0
608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0
502.0,France,Female,42.0,4.767065986986536,159660.8,1.2218791794742536,1.0,0.0,140936.08871266386,1.0
699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
850.0,France,Female,40.90965899251274,5.978032932650317,45180.7567790765,1.0,1.0,1.0,79084.1,0.0
524.0849516594217,France,Female,44.0,6.001466624055568,77654.49991046196,1.2052764361943022,1.0,0.0,153625.60706327664,1.0
628.6657156085541,France,Male,36.40306025078551,4.793478565419224,38101.35645499932,2.0,1.0,0.0,10062.8,0.0
376.0,Germany,Male,29.0,6.139229099097688,118703.0088139192,1.3355562288498326,1.0,0.0,109100.88723603422,1.0
631.0379740545435,France,Male,44.0,4.0,15503.39113926838,2.0,0.0,1.0,75834.79294440814,0.0
684.0,France,Male,27.0,1.9440250687104061,134603.88,1.435378665293005,1.0,1.0,71725.73,0.0
631.573227267096,France,Male,38.97629849836043,6.0,102016.72,2.0,1.0,0.0,89419.55567289489,0.0
497.0,Spain,Male,24.0,3.0,0.0,1.6460775227101776,1.0,0.0,145029.5568436214,0.0
476.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0
549.0,France,Female,25.0,4.155517221360194,0.0,2.0,0.0,0.0,190857.79,0.0
635.0,France,Female,39.82709536054718,7.0,15252.589871190054,2.0,1.0,1.0,65951.65,0.0
616.0,Germany,Male,35.047825718808085,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0
653.0,France,Male,58.0,4.370359244890842,132602.88,1.0,1.0,0.0,71031.23069623426,1.0
549.0,France,Female,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0
627.8737089087501,Spain,Male,45.0,2.9662778976659863,0.0,1.0,0.0,0.0,158684.81,0.0
726.0,France,Female,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0
712.7723805083872,France,Male,41.0,6.178947925896137,85965.7822101787,1.0274574211113658,1.0,1.0,99621.56955778565,0.0
636.0,Spain,Female,32.0,8.0,0.0,1.7160178257502228,1.0,0.0,138555.46,0.0
510.0,Spain,Male,38.0,5.8876849494430825,80381.84754363116,1.0,1.0,0.0,118913.53,1.0
640.393243627832,France,Male,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,0.0
846.0,France,Female,38.11958774269354,5.0,0.0,1.0,1.0,0.0,84199.5148267567,0.0
577.0,France,Male,25.0,3.0,0.0,1.8662342487620742,0.0,1.0,117256.1412600909,0.0
728.9360851891752,France,Male,36.0,5.2576016829987235,116363.42770177104,1.0706010949300704,1.0,0.0,170041.95,0.0
641.3274193285433,France,Male,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0
574.0,Germany,Female,43.0,3.0,141349.43,1.1840733520577202,1.0,1.0,84116.14945519036,0.0
593.9182238316033,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
591.0,Spain,Female,39.0,5.7750600841216615,13729.679834345407,3.0,1.0,0.0,116124.78603023289,0.0
631.9649306794852,France,Male,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0
553.0,Germany,Male,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0
520.0,Spain,Female,40.33103986634518,6.0,8190.88206984601,2.0,1.0,1.0,34410.55,0.0
722.0,Spain,Female,29.0,4.139730531449433,0.0,2.0,1.0,1.0,88922.8830425784,0.0
475.0,Germany,Female,45.0,2.8728022296097873,134264.04,1.0,1.0,0.0,27822.99,1.0
490.0,Spain,Male,31.0,3.0,145260.23,1.0,1.0,1.0,68930.06360124706,0.0
804.0,France,Male,33.0,7.0,76548.6,1.0,1.0,1.0,98453.45,0.0
850.0,France,Male,36.0,7.0,0.0,1.5834128883769927,1.0,0.0,40812.9,0.0
582.0,Germany,Female,41.0,6.0,70349.48,2.0,0.0,0.0,178074.04,0.0
