cat_city,con_area,con_rooms,con_bathroom,con_parking_spaces,cat_floor,cat_animal,cat_furniture,con_hoa,con_rent_amount,con_property_tax,con_fire_insurance
São Paulo,70.0,2.0,1.0,1.0,7,acept,not furnished,2065.0,3300.0,211.0,42.0
São Paulo,130.96120077247403,2.762290340547852,1.9254537174433464,0.0,-,acept,not furnished,327.06346537764256,2875.9546482402557,154.47227857805245,42.946965480152635
São Paulo,80.0,1.0,1.0,1.0,6,acept,not furnished,525.793113122727,2800.0,128.33645029176887,41.0
Porto Alegre,51.0,1.412334871989373,1.0,0.0,2,acept,not furnished,270.0,1112.0,34.4091913394439,15.41472217700666
São Paulo,37.40726987493512,1.0,1.0046700547917615,0.0,1,not acept,not furnished,0.0,814.1289795582775,31.24155759289206,11.0
São Paulo,85.62655459264607,2.148697767892444,1.374524782399946,1.1577216866617128,-,acept,not furnished,477.43144402950486,4259.421697067159,73.45446368153144,121.0
Rio de Janeiro,72.0,1.9831089542186602,1.0,0.0,1,acept,not furnished,740.0,1900.0,85.0,25.0
São Paulo,213.0,3.1683507292033593,2.436338118518231,1.3519760995258718,-,acept,not furnished,1239.2387915887166,4325.28234560468,266.42652330260137,55.96330892434888
São Paulo,134.3056126322462,2.867213879525884,2.1258168206120875,1.8482405845987762,-,acept,not furnished,1000.0,3541.545668417495,250.0,41.93821953971554
Rio de Janeiro,35.0,1.0,1.0,0.0,2,acept,furnished,590.0,2300.0,35.0,30.0
São Paulo,45.7090551907123,1.0,1.0,0.0,2,acept,furnished,470.0,2100.0,150.0,27.0
Campinas,43.410449075850636,1.0,1.0,1.0,10,acept,not furnished,550.0,580.0,43.0,8.0
São Paulo,36.0,1.0,1.0,0.0,6,acept,not furnished,359.0,1656.7504603440093,70.0,22.333157546656384
São Paulo,88.89718977723646,2.2828471207596093,1.0,1.0,7,acept,not furnished,790.0,4431.967665844874,107.47597222790401,54.0
São Paulo,100.0,2.0,2.0,1.2300481200943407,24,acept,not furnished,1190.8425809523862,4370.0,316.86310573364347,56.0
São Paulo,330.0,2.7527314249872346,2.063028501668492,6.0,-,acept,not furnished,602.7663344495596,8000.0,328.0,64.92401294112535
São Paulo,110.0,2.6728759810183496,2.0,1.0,-,acept,not furnished,700.0,3001.9179009258683,122.0,41.37545163443454
Rio de Janeiro,88.0,2.0,3.0,0.8722103154334301,9,not acept,not furnished,1614.0,1343.4678453620843,265.3306898932981,16.0
São Paulo,59.87159765351583,2.0,1.0,0.8270719156182225,8,acept,not furnished,463.89222654297413,1231.6615015411944,0.0,16.0
São Paulo,114.00610858025811,2.122259803937812,1.1169667604025704,1.0717908568307806,6,acept,not furnished,491.11845708646064,2150.0258324693596,104.43724793361918,28.99506072822588
São Paulo,216.63276459008077,7.0,4.0,0.0,-,acept,not furnished,0.0,5787.8247513793085,118.0,107.21124115823848
Belo Horizonte,42.0,1.0,1.0,1.0,17,acept,furnished,475.3367912856002,2690.0,58.61043777349054,37.912834256532925
