-17.1%±1.1%,-1.7%±0.7%,-1.4%±0.6%,-4.8%±1.4%,-5.5%±1.0%,-5.2%±0.7%,-10.9%±1.4%
-23.5%±1.1%,-7.6%±1.8%,-5.7%±1.6%,-13.6%±1.8%,-13.3%±1.0%,-13.1%±0.9%,-18.3%±1.1%
-27.5%±1.1%,-12.6%±1.1%,-11.3%±1.1%,-20.5%±1.5%,-18.8%±0.8%,-18.6%±1.1%,-22.3%±1.2%
-14.8%±1.5%,-3.6%±1.1%,-2.6%±0.9%,-6.2%±1.4%,-8.1%±0.9%,-7.7%±0.8%,-13.4%±0.9%
-21.4%±0.8%,-8.4%±1.5%,-7.3%±1.0%,-16.2%±1.3%,-14.1%±0.4%,-13.4%±0.9%,-19.6%±1.3%
-23.9%±0.7%,-16.0%±1.4%,-14.5%±0.9%,-20.5%±0.9%,-17.8%±0.7%,-17.5%±0.9%,-23.4%±0.9%
-14.8%±1.0%,-3.3%±1.2%,-3.0%±0.9%,-6.3%±1.2%,-7.3%±1.5%,-6.5%±1.8%,-13.3%±1.1%
-21.7%±0.9%,-9.6%±0.9%,-8.0%±0.9%,-15.5%±1.1%,-13.7%±1.1%,-13.8%±0.9%,-20.3%±0.5%
-24.1%±1.1%,-16.1%±0.7%,-14.7%±1.1%,-20.0%±1.0%,-17.5%±1.1%,-17.2%±1.1%,-23.5%±1.1%
-21.6%±10.0%,-0.8%±9.9%,1.8%±10.8%,-12.0%±9.4%,0.5%±9.9%,0.0%±8.8%,-11.3%±12.7%
-59.2%±10.2%,-22.2%±13.3%,-18.0%±12.6%,-69.4%±10.6%,-20.4%±10.9%,-19.9%±11.9%,-67.7%±20.8%
-97.4%±13.2%,-61.8%±10.1%,-56.2%±11.6%,-136.5%±11.6%,-54.9%±9.9%,-52.8%±10.9%,-134.8%±31.4%
-59.4%±8.0%,-24.1%±7.7%,-26.3%±10.2%,-43.0%±5.6%,-19.8%±7.4%,-25.8%±6.4%,-199.1%±9.9%
-124.6%±7.9%,-81.4%±6.9%,-92.8%±10.5%,-92.2%±9.7%,-57.6%±8.6%,-58.9%±8.8%,-205.2%±12.1%
-168.8%±9.6%,-125.6%±6.4%,-167.8%±9.5%,-140.4%±8.3%,-92.8%±6.2%,-95.7%±8.5%,-224.2%±8.2%
-38.4%±12.8%,-0.1%±16.1%,5.6%±17.6%,-21.3%±15.3%,11.6%±16.8%,11.4%±16.8%,-74.1%±63.5%
-115.5%±4.7%,-64.5%±6.8%,-79.3%±8.9%,-85.3%±9.3%,-43.2%±6.8%,-40.5%±4.1%,-149.5%±38.9%
-157.9%±6.6%,-118.5%±5.8%,-157.5%±4.2%,-143.1%±16.3%,-86.7%±5.6%,-82.0%±6.6%,-201.4%±14.7%
-1.3%±0.3%,-0.7%±0.6%,0.5%±0.5%,-0.9%±0.5%,-0.1%±0.5%,0.0%±0.6%,-5.1%±0.3%
-3.1%±0.2%,-1.0%±0.7%,1.0%±0.7%,-3.1%±0.5%,-0.9%±0.6%,-0.8%±0.5%,-6.4%±0.2%
-4.8%±0.2%,-4.0%±0.9%,-1.9%±1.2%,-5.0%±0.2%,-2.3%±1.0%,-2.2%±1.3%,-6.5%±0.0%
-2.1%±0.2%,-0.3%±0.5%,0.3%±0.5%,-0.9%±0.7%,-0.5%±0.3%,-0.2%±0.7%,-4.8%±0.3%
-4.2%±0.2%,-2.0%±0.6%,-1.2%±0.6%,-3.3%±0.6%,-1.4%±0.7%,-1.6%±0.8%,-6.5%±0.1%
-5.3%±0.3%,-3.3%±0.3%,-3.1%±0.8%,-4.9%±0.9%,-3.0%±0.9%,-2.4%±0.8%,-6.5%±0.0%
-2.4%±0.3%,-1.0%±0.6%,-0.5%±0.5%,-1.9%±0.6%,-1.2%±0.6%,-0.9%±0.5%,-5.0%±0.6%
-4.7%±0.5%,-2.4%±0.3%,-1.7%±0.7%,-4.2%±0.5%,-2.6%±0.5%,-2.4%±0.3%,-6.6%±0.1%
-5.8%±0.3%,-3.5%±0.7%,-4.0%±0.7%,-5.1%±0.6%,-4.4%±0.7%,-3.8%±0.7%,-6.5%±0.0%
-0.9%±0.2%,-0.1%±0.2%,0.1%±0.2%,0.4%±0.1%,-0.1%±0.1%,-0.1%±0.2%,-0.1%±0.2%
-2.6%±0.4%,-0.2%±0.5%,0.9%±0.2%,-0.2%±0.7%,-0.5%±0.4%,0.5%±0.8%,0.2%±0.4%
-5.2%±0.4%,-1.9%±0.5%,-0.9%±0.9%,-3.0%±0.5%,-1.1%±0.8%,-0.6%±0.7%,-0.5%±0.5%
-0.5%±0.4%,0.2%±0.2%,0.5%±0.2%,-0.6%±0.4%,0.2%±0.2%,0.0%±0.1%,0.2%±0.4%
-1.2%±0.4%,-1.1%±0.5%,0.6%±0.4%,-1.2%±0.7%,0.8%±0.4%,0.8%±0.6%,0.6%±0.4%
-3.9%±0.4%,-3.8%±0.7%,-2.8%±0.8%,-3.9%±0.2%,-1.1%±0.7%,-0.1%±0.6%,-1.1%±0.5%
-0.6%±0.2%,0.0%±0.2%,0.4%±0.2%,-0.7%±0.2%,0.0%±0.2%,-0.2%±0.4%,0.0%±0.2%
-1.3%±0.5%,-1.8%±0.5%,-0.2%±0.4%,-2.0%±0.5%,0.5%±0.5%,0.8%±0.8%,0.1%±0.4%
-4.3%±0.5%,-5.0%±0.5%,-3.7%±0.7%,-4.6%±0.5%,-1.5%±0.6%,-0.6%±0.4%,-2.0%±0.6%
